gisjoin,name_dp,var_code,dp,name_sf,sf
G3200010,Churchill County,H7V001,24803,Churchill County,24877
G3200030,Clark County,H7V001,1950583,Clark County,1951269
G3200050,Douglas County,H7V001,47056,Douglas County,46997
G3200070,Elko County,H7V001,48758,Elko County,48818
G3200090,Esmeralda County,H7V001,1012,Esmeralda County,783
G3200110,Eureka County,H7V001,2145,Eureka County,1987
G3200130,Humboldt County,H7V001,16644,Humboldt County,16528
G3200150,Lander County,H7V001,5847,Lander County,5775
G3200170,Lincoln County,H7V001,5528,Lincoln County,5345
G3200190,Lyon County,H7V001,51989,Lyon County,51980
G3200210,Mineral County,H7V001,4913,Mineral County,4772
G3200230,Nye County,H7V001,43873,Nye County,43946
G3200270,Pershing County,H7V001,6881,Pershing County,6753
G3200290,Storey County,H7V001,4158,Storey County,4010
G3200310,Washoe County,H7V001,420941,Washoe County,421407
G3200330,White Pine County,H7V001,10211,White Pine County,10030
G3205100,Carson City,H7V001,55209,Carson City,55274
G3200010,Churchill County,H7X001,24803,Churchill County,24877
G3200030,Clark County,H7X001,1950583,Clark County,1951269
G3200050,Douglas County,H7X001,47056,Douglas County,46997
G3200070,Elko County,H7X001,48758,Elko County,48818
G3200090,Esmeralda County,H7X001,1012,Esmeralda County,783
G3200110,Eureka County,H7X001,2145,Eureka County,1987
G3200130,Humboldt County,H7X001,16644,Humboldt County,16528
G3200150,Lander County,H7X001,5847,Lander County,5775
G3200170,Lincoln County,H7X001,5528,Lincoln County,5345
G3200190,Lyon County,H7X001,51989,Lyon County,51980
G3200210,Mineral County,H7X001,4913,Mineral County,4772
G3200230,Nye County,H7X001,43873,Nye County,43946
G3200270,Pershing County,H7X001,6881,Pershing County,6753
G3200290,Storey County,H7X001,4158,Storey County,4010
G3200310,Washoe County,H7X001,420941,Washoe County,421407
G3200330,White Pine County,H7X001,10211,White Pine County,10030
G3205100,Carson City,H7X001,55209,Carson City,55274
G3200010,Churchill County,H7X002,20432,Churchill County,20407
G3200030,Clark County,H7X002,1188170,Clark County,1188112
G3200050,Douglas County,H7X002,42115,Douglas County,42130
G3200070,Elko County,H7X002,38701,Elko County,38772
G3200090,Esmeralda County,H7X002,639,Esmeralda County,661
G3200110,Eureka County,H7X002,1743,Eureka County,1775
G3200130,Humboldt County,H7X002,13027,Humboldt County,13053
G3200150,Lander County,H7X002,4814,Lander County,4853
G3200170,Lincoln County,H7X002,4892,Lincoln County,4871
G3200190,Lyon County,H7X002,44188,Lyon County,44164
G3200210,Mineral County,H7X002,3449,Mineral County,3462
G3200230,Nye County,H7X002,37742,Nye County,37755
G3200270,Pershing County,H7X002,5522,Pershing County,5528
G3200290,Storey County,H7X002,3675,Storey County,3693
G3200310,Washoe County,H7X002,324063,Washoe County,324070
G3200330,White Pine County,H7X002,8560,White Pine County,8575
G3205100,Carson City,H7X002,44787,Carson City,44807
G3200010,Churchill County,H7X003,340,Churchill County,395
G3200030,Clark County,H7X003,204483,Clark County,204379
G3200050,Douglas County,H7X003,203,Douglas County,201
G3200070,Elko County,H7X003,351,Elko County,378
G3200090,Esmeralda County,H7X003,7,Esmeralda County,0
G3200110,Eureka County,H7X003,10,Eureka County,2
G3200130,Humboldt County,H7X003,55,Humboldt County,87
G3200150,Lander County,H7X003,21,Lander County,20
G3200170,Lincoln County,H7X003,97,Lincoln County,121
G3200190,Lyon County,H7X003,404,Lyon County,417
